municipio,fecha,luces_nocturnas,densid_vial,imae,interaccion_causal,area_km2,imae_primario,imae_secundario,imae_terciario,poblacion_estimada,categoria
Acoyapa,2020-01-01,0.0090831303969025,0.1032846169238457,151.691034975859,15.667350438263286,3124.2723364969715,195.63963679985775,146.33243947481455,146.4229487834796,16400.041015625,Estrato Bajo
Acoyapa,2020-02-01,0.0092462953180074,0.1032846169238457,151.286083647823,15.625525195474284,3124.2723364969715,191.0893549721048,143.95693947267122,146.26311473770102,16400.041015625,Estrato Bajo
Acoyapa,2020-03-01,0.0089732026681304,0.1032846169238457,150.490161146707,15.543318644845453,3124.2723364969715,186.160876176909,141.24372114909187,146.0915987465235,16400.041015625,Estrato Bajo
Acoyapa,2020-04-01,0.0176709536463022,0.1032846169238457,149.500244882531,15.441075522713348,3124.2723364969715,182.9638630805388,138.46421287184566,136.454882796999,16400.041015625,Estrato Bajo
Acoyapa,2020-05-01,0.0103297019377351,0.1032846169238457,148.643879420633,15.3526261440344,3124.2723364969715,182.5458467994188,136.14138668998342,136.2498285458466,16400.041015625,Estrato Bajo
Acoyapa,2020-06-01,0.0092937927693128,0.1032846169238457,148.213417443265,15.308166043601664,3124.2723364969715,184.4889671310802,134.59608618198044,136.2879004351725,16400.041015625,Estrato Bajo
Acoyapa,2020-07-01,0.0083959959447383,0.1032846169238457,148.16947457966,15.303627421767686,3124.2723364969715,187.1016382845974,133.92389928431183,136.59923699832513,16400.041015625,Estrato Bajo
Acoyapa,2020-08-01,0.0070267347618937,0.1032846169238457,148.432089202293,15.330751472464936,3124.2723364969715,189.1126524755478,134.09439688981556,137.14685064585194,16400.041015625,Estrato Bajo
Acoyapa,2020-09-01,0.0300200749188662,0.1032846169238457,148.997788270723,15.389179484041904,3124.2723364969715,190.23934881842385,134.99070601026096,137.84769609672196,16400.041015625,Estrato Bajo
Acoyapa,2020-10-01,0.008591815829277,0.1032846169238457,149.862724429355,15.478514083849792,3124.2723364969715,190.98470562709,136.52169966940554,138.65564039891913,16400.041015625,Estrato Bajo
Acoyapa,2020-11-01,0.0445626340806484,0.1032846169238457,150.968974174506,15.592772664999815,3124.2723364969715,192.6742863581772,138.51517744036502,139.53730454615848,16400.041015625,Estrato Bajo
Acoyapa,2020-12-01,0.0089995693415403,0.1032846169238457,152.242891560635,15.724348734218776,3124.2723364969715,196.0071454456758,140.7987994768787,140.43819642764953,16400.041015625,Estrato Bajo
Acoyapa,2021-01-01,0.0081239053979516,0.1032846169238457,153.783547871909,15.883474831140015,3124.2723364969715,200.7746381367128,143.1283839595385,141.3025169920886,16400.041015625,Estrato Bajo
